Country Name,Adjusted net national income per capita (current US$)
British Virgin Islands,
Virgin Islands (U.S.),
Viet Nam,2040.058556
Vanuatu,2884.426365
World,9151.7058
Samoa,3398.342584
Kosovo,
"Yemen, Rep.",666.4130135
South Africa,5788.14113
Zambia,1145.844603
Zimbabwe,1019.960476
