country,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Tunisia,,,,,,,,,,,,,,,,,,,0.151,,,,,0.107,,,,,0.118,,,,,0.06,,,,,0.034,,,,,0.02,,,,,0.002,,,
Turkey,,,,,,,,,,,,,,,,,,,,,0.024,,,,,,,0.032,,,,,,,,0.025,0.042,0.022,0.026,0.019,0.014,0.006,0.009,0.008,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.001
Turkmenistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.514,,,,,,,,,,,,,,,,,,,,
Tuvalu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.033,,,,,,,,
Uganda,,,,,,,,,,,,,,,,,,,,,,,0.577,,,0.638,,,,0.626,,,0.669,,,0.651,,,0.564,,,,0.446,,,0.359,,,,0.417,,
Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,0.013,,0.054,0.054,,,,,,0.017,0.006,0.006,0.003,0.001,0.001,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.0,0.0
United Arab Emirates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,
United Kingdom,,,0.002,,,,,0.002,,,,,0.002,,,,,,,0.007,,,,,0.002,,,0.002,0.007,,,,0.002,,,,,0.004,0.005,0.002,0.003,0.003,0.002,0.001,0.004,0.002,0.002,0.002,0.001,0.002,,
United States,,,,,,,,0.005,,,,,0.005,,,,,,,0.005,,,,,0.005,,,0.007,,,0.007,,,0.007,,,,0.01,,,0.01,,,0.01,,,0.01,,,0.012,,
Uruguay,,,,,,,,,,,,,,,,,,,,,,,,,,0.005,,,0.007,0.008,0.007,0.009,,0.004,0.004,0.005,0.007,0.007,0.007,0.004,0.003,0.002,0.002,0.001,0.001,0.001,0.002,0.001,0.001,0.001,0.001,0.001
Uzbekistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.402,,0.62,,0.582,0.621,,,,,,,,,,,,,,,
Vanuatu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.132,,,,,,,,
Venezuela,,,,,,,,,,,,,,,0.058,,,,,,0.061,,0.074,,,0.048,,,0.104,,,0.128,0.12,,0.11,0.182,0.227,0.198,0.189,0.102,,,,,,,,,,,,
Vietnam,,,,,,,,,,,,,,,,,,,,,,,,,,0.529,,,,,,0.355,,,,0.38,,0.265,,0.195,,0.148,,0.042,,0.028,,0.027,,0.02,,0.019
Yemen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.074,,,,,,,0.098,,,,,,,,,0.188,,,,
Zambia,,,,,,,,,,,,,,,,,,,,,,,,,0.541,,0.545,,,0.417,,0.421,,,,0.494,,0.567,,0.605,,,,0.644,,,,,0.575,,,
Zimbabwe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.214,,,,,,0.339,
