country,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Gambia,0.444,0.444,0.444,0.333,0.222,0.222,0.222,0.222,0.222,0.222,0.222,0.333,0.333
Germany,0.778,0.778,0.778,0.75,0.722,0.667,0.667,0.722,0.778,0.778,0.778,0.833,0.833
Ghana,0.444,0.444,0.444,0.472,0.5,0.5,0.5,0.556,0.556,0.667,0.611,0.667,0.667
Greece,0.667,0.667,0.667,0.667,0.667,0.667,0.667,0.667,0.667,0.667,0.611,0.611,0.611
Guatemala,0.278,0.278,0.278,0.306,0.333,0.333,0.333,0.333,0.333,0.389,0.389,0.389,0.389
Guinea,0.222,0.278,0.333,0.333,0.333,0.333,0.333,0.389,0.444,0.444,0.444,0.444,0.444
Guinea-Bissau,0.333,0.306,0.278,0.278,0.278,0.278,0.222,0.167,0.278,0.278,0.278,0.278,0.278
Guyana,0.444,0.444,0.444,0.5,0.556,0.556,0.556,0.556,0.556,0.556,0.611,0.611,0.611
Haiti,0.278,0.278,0.278,0.278,0.278,0.278,0.222,0.222,0.222,0.222,0.222,0.222,0.389
Honduras,0.444,0.444,0.444,0.444,0.444,0.389,0.389,0.389,0.389,0.389,0.389,0.444,0.444
Hungary,0.5,0.528,0.556,0.528,0.5,0.444,0.444,0.444,0.444,0.444,0.444,0.444,0.5
Iceland,0.889,0.889,0.889,0.889,0.889,0.889,0.889,0.889,0.889,0.889,0.889,0.889,0.889
India,0.556,0.556,0.556,0.5,0.444,0.5,0.611,0.667,0.722,0.722,0.722,0.722,0.722
Indonesia,0.5,0.5,0.5,0.528,0.556,0.556,0.611,0.667,0.667,0.667,0.667,0.667,0.667
Iran,0.389,0.361,0.333,0.278,0.222,0.278,0.278,0.278,0.278,0.333,0.389,0.444,0.444
Iraq,0.556,0.611,0.667,0.639,0.611,0.722,0.722,0.722,0.722,0.722,0.722,0.722,0.667
Ireland,0.778,0.778,0.778,0.778,0.778,0.722,0.722,0.722,0.778,0.778,0.833,0.833,0.833
Israel,0.778,0.805,0.833,0.833,0.833,0.833,0.833,0.833,0.889,0.889,0.889,0.889,0.889
Italy,0.611,0.639,0.667,0.639,0.611,0.667,0.667,0.722,0.722,0.722,0.722,0.722,0.778
Jamaica,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.444,0.444
Japan,0.556,0.584,0.611,0.611,0.611,0.611,0.611,0.611,0.611,0.611,0.667,0.611,0.667
Jordan,0.389,0.416,0.444,0.389,0.333,0.444,0.444,0.444,0.444,0.389,0.389,0.389,0.389
Kazakhstan,0.333,0.306,0.278,0.306,0.333,0.333,0.333,0.389,0.444,0.444,0.444,0.444,0.444
Kenya,0.556,0.556,0.556,0.5,0.444,0.444,0.444,0.611,0.611,0.667,0.667,0.667,0.667
Kuwait,0.111,0.194,0.278,0.306,0.333,0.333,0.389,0.389,0.389,0.389,0.389,0.389,0.389
Kyrgyz Republic,0.278,0.334,0.389,0.445,0.5,0.444,0.5,0.5,0.667,0.556,0.556,0.667,0.667
Lao,0.111,0.111,0.111,0.111,0.111,0.111,0.222,0.167,0.167,0.167,0.167,0.167,0.167
Latvia,0.611,0.611,0.611,0.584,0.556,0.556,0.556,0.556,0.611,0.556,0.556,0.556,0.556
Lebanon,0.611,0.611,0.611,0.639,0.667,0.722,0.722,0.722,0.722,0.778,0.778,0.722,0.667
Lesotho,0.444,0.5,0.556,0.584,0.611,0.611,0.667,0.667,0.667,0.667,0.667,0.667,0.667
Liberia,0.5,0.555,0.611,0.584,0.556,0.556,0.556,0.556,0.556,0.556,0.556,0.556,0.556
Libya,0.111,0.111,0.111,0.111,0.111,0.333,0.389,0.389,0.333,0.167,0.167,0.167,0.167
Lithuania,0.667,0.639,0.611,0.584,0.556,0.556,0.556,0.611,0.611,0.611,0.611,0.611,0.611
Luxembourg,0.778,0.778,0.778,0.723,0.667,0.667,0.667,0.667,0.667,0.667,0.667,0.667,0.667
Madagascar,0.556,0.556,0.556,0.5,0.444,0.5,0.5,0.5,0.5,0.556,0.556,0.556,0.611
Malawi,0.389,0.361,0.333,0.416,0.5,0.556,0.556,0.556,0.5,0.444,0.444,0.444,0.444
Malaysia,0.444,0.5,0.556,0.556,0.556,0.556,0.556,0.556,0.556,0.556,0.611,0.611,0.667
Mali,0.389,0.389,0.389,0.389,0.389,0.444,0.5,0.5,0.444,0.444,0.444,0.444,0.389
Malta,0.611,0.611,0.611,0.584,0.556,0.556,0.556,0.556,0.611,0.611,0.611,0.611,0.611
Mauritania,0.222,0.333,0.444,0.416,0.389,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Mauritius,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.556,0.556,0.556,0.556
Mexico,0.5,0.5,0.5,0.555,0.611,0.611,0.667,0.667,0.667,0.722,0.722,0.722,0.722
Moldova,0.611,0.611,0.611,0.611,0.611,0.556,0.556,0.556,0.556,0.667,0.611,0.611,0.611
Mongolia,0.389,0.389,0.389,0.389,0.389,0.389,0.444,0.444,0.5,0.5,0.5,0.556,0.556
Montenegro,0.5,0.5,0.5,0.528,0.556,0.556,0.556,0.5,0.5,0.5,0.5,0.556,0.611
Morocco,0.278,0.25,0.222,0.194,0.167,0.222,0.278,0.278,0.278,0.389,0.444,0.444,0.5
Mozambique,0.444,0.5,0.556,0.556,0.556,0.556,0.556,0.611,0.556,0.556,0.5,0.5,0.5
Myanmar,0.056,0.056,0.056,0.056,0.056,0.056,0.167,0.278,0.278,0.444,0.444,0.389,0.389
