country,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Guyana,,,,,,,,,,,,,,,,,,,,,,,,,,0.849,,,,,,0.555,,,,,,,,,,,,,,,,,,,,
Haiti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.784,,,,,,
Honduras,,,,,,,,,,,,,,,,,,,,,,,0.796,0.817,0.783,0.754,0.684,0.684,0.697,0.717,0.638,0.636,0.652,,0.55,0.603,0.639,0.632,0.608,0.552,0.529,0.499,0.468,0.499,0.523,0.571,0.553,0.539,0.538,0.529,0.526,0.503
Hungary,,,,,,,,,,,,,,,,,,,,,0.003,,0.122,,0.055,,0.021,0.067,,,,,0.052,,,,,0.03,0.047,0.019,0.018,0.015,0.015,0.025,0.028,0.044,0.043,0.032,0.027,0.027,0.03,
Iceland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.003,0.004,0.002,0.003,0.002,0.001,0.002,0.002,0.004,0.002,0.001,0.001,0.001,,,
India,,,,,,,,,,,0.97,,,,,,0.964,,,,0.955,,,,,,0.953,,,,,,,,,,,0.925,,,,,0.906,,0.868,,,,,,,
Indonesia,,,,,,,,,,,,,,,,,,0.982,,,0.983,,,0.968,,,0.966,,,0.941,,0.979,0.955,0.957,0.948,0.897,0.886,0.886,0.875,0.893,0.847,0.848,0.837,0.778,0.744,0.735,0.71,0.69,0.67,0.624,0.587,0.56
Iran,,,,,,,,,,,,,,,,,,,,0.427,,,,0.422,,,,0.379,,,,0.335,,,,,,,0.136,0.146,,,0.131,,,,0.081,0.105,0.11,0.116,0.109,
Iraq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.622,,,,,,0.573,,,,,,
Ireland,,,,,,,,,,,,,,,,,,,,,0.037,,,,,,,0.007,0.01,0.01,,,,0.005,,,0.004,0.003,0.002,0.006,0.004,0.006,0.012,0.015,0.012,0.009,0.014,0.009,0.008,0.007,,
Israel,,,,,,,,,,,,,0.047,,,,,,,0.062,,,,,,0.022,,,,,0.032,,,,0.025,,,,0.06,,0.047,,,0.042,,0.045,,0.035,,0.027,,
Italy,,,,,,,,,,,,,,,,,,,,0.017,0.027,,0.005,,0.012,,0.037,,0.03,,,0.035,,0.03,,,0.018,0.015,0.018,0.014,0.016,0.017,0.019,0.025,0.025,0.029,0.028,0.028,0.035,0.032,0.032,
Jamaica,,,,,,,,,,,,,,,,,,,,,,0.462,,0.502,,,0.649,,,0.433,,,0.308,,,0.34,,0.297,,,,,,,,,,,,,,
Japan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.014,,0.005,,,0.012,,,,,
Jordan,,,,,,,,,,,,,,,,,,,,0.238,,,,,,0.447,,,,,0.461,,,,,0.363,,,,0.251,,0.239,,0.181,,,,,,,,
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.566,,,,,0.649,0.62,0.563,0.519,0.517,0.352,0.24,0.22,0.227,0.182,0.091,0.092,0.058,0.067,0.081,0.122,0.086,
Kenya,,,,,,,,,,,,,,,,,,,,,,,,,,0.76,,0.842,,,0.831,,,,,,,,0.882,,,,,,,,,,0.865,,,
Kiribati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.694,,,,,,,,,,,,
Kyrgyz Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.781,,0.942,0.943,0.933,0.93,0.776,0.829,0.702,0.711,0.638,0.631,0.661,0.663,0.693,0.695,0.667,0.7,0.672,0.664,0.613
Lao,,,,,,,,,,,,,,,,,,,,,,,,,,0.902,,,,,0.949,,,,,0.923,,,,,0.887,,,,,0.85,,,,,,
Latvia,,,,,,,,,,,,,,,,,,,,,,,,,,,0.304,,0.221,0.236,,,,,,,,0.154,0.141,0.078,0.049,0.061,0.096,0.096,0.087,0.075,0.061,0.056,0.039,0.036,0.034,
Lebanon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.019,,,,,,,
Lesotho,,,,,,,,,,,,,,,,,,,,0.846,,,,,,,,0.778,,,,,,,,0.92,,,,,,,,,,,,,,,0.731,
Liberia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.973,,,,,,,0.93,,0.922,,
Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,0.713,,,,,,,,,,,0.192,0.123,0.073,0.045,0.046,0.089,0.084,0.055,0.058,0.049,0.05,0.043,0.045,0.038,
Luxembourg,,,,,,,,,,,,,,,,,,,0.002,,,,,,0.0,,,0.0,,,0.002,,,0.0,,,0.005,0.001,0.001,0.0,0.0,0.001,0.002,0.001,0.002,0.003,0.003,0.003,0.006,0.003,0.007,
Madagascar,,,,,,,,,,,,,,0.887,,,,,,,,,,,,,0.966,,,,0.969,,0.967,,0.944,,,,0.971,,,,,0.976,,0.973,,,,,,
Malawi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.936,,,,,,,0.971,,,,,,0.962,,,,,,0.967,,
Malaysia,,,,,,,,,,,,,,,,,,0.322,,,0.329,,0.325,,,0.303,,,0.294,,0.219,,,,,,,0.121,,,0.143,0.167,,,0.086,,0.04,,0.027,,,
Maldives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.752,,,,,,,0.543,,,,,,,0.066,,
Mali,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.977,,,,,,,0.95,,,,,0.922,,,0.949,,,,,,,,,
Malta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.008,0.01,0.005,0.008,0.005,0.005,0.004,0.002,0.001,0.003,0.003,0.003,
Mauritania,,,,,,,,,,,,,,,,,,,,,0.867,,,,,,0.885,,0.788,,,,,0.746,,,,0.749,,,,0.647,,,,,,0.588,,,,
Mauritius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.203,,,,,,0.172,,,,,0.121,
Mexico,,,,,,,,,,,,,,,,,,,,,,,0.401,,,0.461,,0.455,,0.616,,0.536,,0.44,,0.41,,0.376,0.368,0.333,,0.336,,0.337,,0.318,,0.336,,0.257,,0.23
"Micronesia, Fed. Sts.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.516,,,,,,,,0.691,,,,,
Moldova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.746,0.831,0.881,0.903,0.852,0.759,0.683,0.689,0.743,0.404,0.315,0.328,0.315,0.289,0.256,0.246,0.196,0.183,0.161,0.164,0.163,0.133
Mongolia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.712,,,0.901,,,,0.679,,,,,0.411,,,0.384,0.329,0.245,,0.189,,0.32,,0.289
Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.24,0.213,0.207,0.199,,,
Morocco,,,,,,,,,,,,,,,,,,0.681,,,,,,0.487,,,,,,,,0.593,,0.597,,,,,,0.481,,,,,,,0.313,,,,,
Mozambique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.965,,,,,,0.968,,,,,,0.962,,,,,,0.92,,,,
Myanmar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.672,,0.608,
Namibia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.732,,,,,,0.673,,,,,,0.501,,,
Nepal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.969,,,,,,,,0.909,,,,,,,0.83,,,,,,,,
Netherlands,,,,,,,,,,,,,,,,,0.025,,,,0.005,,,0.017,,,0.03,,,,,,0.005,,,,,0.008,0.004,0.002,0.002,0.005,0.003,0.002,0.003,0.002,0.002,0.004,0.004,0.003,0.004,
Nicaragua,,,,,,,,,,,,,,,,,,,,,,,,,,,0.744,,,,,0.695,,,0.626,,,,0.537,,,,0.498,,,,,0.348,,,,
Niger,,,,,,,,,,,,,,,,,,,,,,,,,,0.983,,0.983,,,,,,,,,,,0.971,,0.967,,,,0.958,,,0.934,,,,
Nigeria,,,,,,,,,,,,,,,,,,,0.935,,,,,,,0.925,,,,0.928,,,,,,,0.941,,,,,,0.921,,,,,,,,,
North Macedonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.351,0.324,0.313,0.292,0.282,0.243,0.231,0.206,0.182,
Norway,,,,,,,,,,,,,0.01,,,,,,,0.005,,,,,0.005,,,,0.007,,,,,0.005,,,0.003,0.005,0.004,0.005,0.004,0.004,0.002,0.003,0.002,0.002,0.004,0.003,0.003,0.006,0.005,
Pakistan,,,,,,,,,,,,,,,,,,,,,0.967,,,0.969,,,,,,0.91,,0.901,,,0.931,,,0.874,0.878,,0.861,,,0.85,0.834,,0.795,,0.754,,,
Palestine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.264,0.247,0.233,0.309,,0.209,0.219,0.207,,,,,0.236,,
Panama,,,,,,,,,,,,,0.399,,,,,,,,,,0.502,,0.482,,,,0.394,,0.391,0.388,0.369,0.354,0.403,0.375,0.36,0.35,0.347,0.34,0.306,0.233,0.23,0.218,0.185,0.189,0.182,0.169,0.154,0.146,0.141,0.127
Papua New Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.884,,,,,,,,,,,,,0.869,,,,,,,,,
Paraguay,,,,,,,,,,,,,,,,,,,,,,,,0.183,,,,,0.403,,0.353,,0.372,,0.362,0.474,0.405,0.385,0.35,0.395,0.361,0.33,0.319,0.3,0.283,0.235,0.204,0.193,0.2,0.201,0.186,0.17
Peru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.536,0.532,0.535,0.525,0.55,0.504,0.498,0.497,0.521,0.464,0.411,0.374,0.353,0.312,0.293,0.267,0.26,0.251,0.242,0.243,0.239,0.221
Philippines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.643,,,0.631,,,0.637,,,0.614,,,0.601,,,0.551,,,
Poland,,,,,,,,,,,,,,,,,,,0.043,0.077,0.042,,0.011,,,0.05,,,0.17,,,,0.09,,,,,0.133,0.094,0.068,0.042,0.032,0.032,0.03,0.03,0.031,0.03,0.028,0.026,0.018,0.014,
Portugal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.034,0.028,0.028,0.022,0.017,0.022,0.016,0.02,0.027,0.046,0.045,0.037,0.029,0.028,0.019,
Romania,,,,,,,,,,,,,,,,,,,,,,,0.032,,,0.181,,0.826,0.362,,0.42,,,,,,,,,0.403,0.337,0.269,0.256,0.28,0.314,0.315,0.312,0.284,0.256,0.205,0.156,
Russia,,,,,,,,,,,,,,,,,,,,,,,,,,,0.263,,,0.261,0.211,0.262,0.373,0.321,0.254,0.208,0.198,0.174,0.147,0.116,0.083,0.052,0.049,0.04,0.032,0.029,0.025,0.024,0.027,0.027,0.025,0.023
Rwanda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.958,,,,,0.936,,,,,0.93,,,0.924,,,0.916,,
Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.366,,,,,,0.359,,,,,0.339,,,,,
Sao Tome and Principe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.898,,,,,,,,,,0.923,,,,,,,0.855,
Senegal,,,,,,,,,,,,,,,,,,,,,,,,,0.936,,,0.947,,,,,,,0.917,,,,0.886,,,,,,0.881,,,,,,,
Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.231,0.263,0.261,0.253,0.231,0.203,
Seychelles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.066,,,,,
Sierra Leone,,,,,,,,,,,,,,,,,,,,,,,0.951,,,,,,,,,,,,,,0.958,,,,,,,,0.947,,,,,,,0.921
Slovak Republic,,,,,,,,,,,,,,,,,,,,,,,,,,0.007,,,,0.05,,,,,,,,0.053,0.032,0.022,0.02,0.024,0.025,0.022,0.023,0.03,0.029,0.036,0.028,0.033,,
Slovenia,,,,,,,,,,,,,,,,,,,,,0.001,,,,,,0.006,,,,0.007,,0.007,,,,,0.003,0.004,0.003,0.002,0.001,0.002,0.001,0.002,0.002,0.002,0.002,0.001,0.001,0.001,
Solomon Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.873,,,,,,,,0.847,,,,,
South Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,0.671,,,0.712,,,,0.704,,,,,0.679,,,0.579,,0.562,,,,0.571,,,,
South Korea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.012,,0.012,,0.015,,0.012,,,,,,
South Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.848,,,,,,,,,
Spain,,,,,,,,,,,,,,0.062,,,,,0.065,,,,,0.027,,,,,0.042,,,,,0.015,,,0.02,0.021,0.021,0.023,0.015,0.017,0.022,0.023,0.028,0.03,0.033,0.029,0.032,0.032,0.022,
Sri Lanka,,,,,,,,,,,,,,,,,,,0.81,,,,,0.806,,,,,0.752,,,,,,,0.68,,,,0.583,,,0.557,,,0.51,,,,0.404,,
St. Lucia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.861,,,,,,,,,,,,,,,,,,,,,0.203,,
Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.752,,,,,0.799,,,,
Suriname,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.557,,,,,,,,,,,,,,,,,,,
Swaziland,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.97,,,,,,0.851,,,,,,,,,0.82,,,,,,,0.714,,
Sweden,0.107,,,,,,,,0.007,,,,,,0.007,,,,,,0.005,,,,,0.007,,,0.01,,,,,0.002,,,0.008,0.009,0.016,0.009,0.008,0.01,0.01,0.012,0.011,0.01,0.011,0.01,0.011,0.006,0.005,
Switzerland,,,,,,,,,,,,,,,,0.007,,,,,,,,,,0.01,,,,,,,,0.005,,0.002,,,,0.004,0.003,0.003,0.002,0.003,0.001,0.0,0.001,0.001,0.0,0.001,0.001,
Syria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.504,,,,,,,,,,,,,,
Tajikistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.981,,,,0.907,0.806,,,0.74,,0.636,,,,,,0.542,,,
Tanzania,,,,,,,,,,,,,,,,,,,,,,,,,0.982,,,,,,,,,0.994,,,,,,,0.948,,,,0.931,,,,,,0.917,
Thailand,,,,,,,,,,,,,,,0.696,,,,,,,0.685,,0.647,,0.58,,0.509,,0.454,,0.443,0.483,0.489,,0.401,,0.339,,0.271,0.248,0.23,0.203,0.178,0.137,0.137,0.116,0.106,0.071,0.084,0.078,0.086
Timor-Leste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.932,,,,,,0.976,,,,,,,0.94,,,,
Togo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.915,,,,,0.901,,,,0.904,,,
Tonga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.292,,,,,,,,0.319,,,,,,0.275,,,
Trinidad and Tobago,,,,,,,,,,,,,,,,,,,,,,0.223,,,,0.329,,,,,,,,,,,,,,,,,,,,,,,,,,
Tunisia,,,,,,,,,,,,,,,,,,,0.668,,,,,0.596,,,,,0.602,,,,,0.506,,,,,0.414,,,,,0.304,,,,,0.175,,,
Turkey,,,,,,,,,,,,,,,,,,,,,0.406,,,,,,,0.391,,,,,,,,0.35,0.385,0.281,0.257,0.232,0.198,0.169,0.167,0.159,0.136,0.13,0.114,0.105,0.115,0.099,0.092,0.092
Turkmenistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.925,,,,,,,,,,,,,,,,,,,,
Tuvalu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.467,,,,,,,,
Uganda,,,,,,,,,,,,,,,,,,,,,,,0.932,,,0.958,,,,0.953,,,0.952,,,0.942,,,0.925,,,,0.892,,,0.871,,,,0.878,,
Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,0.413,0.426,,0.487,0.575,,,,,,0.473,0.378,0.295,0.19,0.152,0.146,0.083,0.098,0.061,0.057,0.041,0.033,0.036,0.078,0.064,0.056,0.04
United Arab Emirates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,
