country,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.515,,,,,,0.541,,,0.426,,,0.358,,,,0.391,,0.403,0.383,0.388,0.38,
Algeria,,,,,,,,,,,,,,,,,,,,,,0.576,,,,,,,0.551,,,,,,,,,,,,,,,,0.292,,,,,,,
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.781,,,,,,,,0.794,,,,,,,,,,0.872
Argentina,,,,,,,,,,,,,,0.055,,,,,,0.049,0.083,,,,0.142,0.149,0.15,0.157,0.205,0.223,0.213,0.232,0.242,0.263,0.31,0.442,0.3,0.25,0.211,0.173,0.162,0.147,0.133,0.127,0.088,0.084,0.082,0.089,,0.085,0.077,0.096
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.832,,0.844,0.835,0.83,0.744,0.687,0.64,0.571,0.536,0.621,0.634,0.608,0.565,0.546,0.523,0.483,0.435,0.5,0.504
Australia,,,,,,,,,,,,,,,0.017,,,,0.017,,,,0.017,,,,,,0.017,,,,,,0.013,,0.015,0.01,,,,0.007,,0.007,,,,0.007,,,,
Austria,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,0.007,0.02,,0.007,,,0.002,,,0.006,0.003,0.004,0.003,0.007,0.009,0.01,0.008,0.01,0.01,0.006,0.007,0.009,0.012,0.007,
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.625,,,,,,0.53,0.179,0.188,0.153,0.082,,,,,,,,,,,,,
Bangladesh,,,,,,,,,,,,,,,,,0.959,,0.941,,,0.955,,,0.969,,,,0.927,,,,,0.916,,,,,0.893,,,,,0.877,,,,,,0.845,,
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.758,0.714,0.652,0.49,0.42,0.383,0.268,0.166,0.113,0.072,0.053,0.05,0.034,0.025,0.011,0.007,0.004,0.009,0.007,0.008,0.004
Belgium,,,,,,,,,,,,,,,,,,,0.007,,,0.007,,,,0.012,,,0.01,,0.007,,,0.007,,,0.007,0.002,0.005,0.004,0.003,0.003,0.003,0.004,0.005,0.004,0.004,0.002,0.002,0.002,0.003,
Belize,,,,,,,,,,,,,,,,,,,,,,,,,,,0.494,0.525,,0.578,0.579,0.564,0.53,,,,,,,,,,,,,,,,,,,
Benin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.93,,,,,,,,0.9,,,,0.906,,,
Bhutan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.728,,,,0.613,,,,,0.439,,,,,0.386,
Bolivia,,,,,,,,,,,,,,,,,,,,,,,,,,0.651,,,,,0.526,,0.548,0.621,0.574,0.596,,0.531,0.521,0.481,0.464,0.392,0.351,,0.283,0.283,0.26,0.249,0.256,0.25,0.247,0.231
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.088,,,0.041,,,0.029,,,,0.039,,,,,,,
Botswana,,,,,,,,,,,,,,,,,,,0.816,,,,,,,,0.76,,,,,,,,,0.667,,,,,,,0.575,,,,,,0.604,,,
Brazil,,,,,,,,,,,,,,,0.603,0.6,0.666,0.666,0.615,0.424,0.529,0.55,0.522,0.578,,0.582,0.568,,0.45,0.457,0.457,0.446,0.459,,0.413,0.404,0.417,0.403,0.381,0.342,0.321,0.289,0.274,,0.24,0.212,0.194,0.177,0.187,0.201,0.204,0.199
Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,,0.007,,,,,,,,,,,,,,0.226,0.114,0.085,0.084,0.11,0.112,0.111,0.111,0.087,0.117,0.089,0.075,
Burkina Faso,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.972,,,,0.963,,,,,0.931,,,,,,0.942,,,,,0.923,,,,
Burundi,,,,,,,,,,,,,,,,,,,,,,,,,,0.989,,,,,,0.98,,,,,,,,0.983,,,,,,,0.968,,,,,
Cameroon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.887,,,,,0.795,,,,,,0.796,,,,,,,0.689,,,,
Canada,,,,,0.045,,,,0.02,,,,,,0.012,,,,,,0.007,,,,0.005,,,0.005,,,0.01,0.01,,0.007,,,,0.007,,,0.005,,,0.005,,,0.007,,,,,
Cape Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.63,,,,,,0.531,,,,,,,,0.408,,,
Central African Republic,,,,,,,,,,,,,,,,,,,,,,,,,,0.968,,,,,,,,,,,0.953,,,,,0.928,,,,,,,,,,
Chad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.96,,,,,,,,0.862,,,,,,,
Chile,,,,,,,,,,,,,,,,,,,,,0.528,,,0.461,,0.398,,0.37,,0.312,,0.291,,0.31,,,0.303,,,0.196,,,0.155,,0.124,,0.069,,0.052,,0.037,
China,,,,,,,,,,,,,,,,,,,,,,,,0.983,,,0.963,,,0.923,,,0.889,,,0.806,,,0.705,,,0.606,,0.534,0.492,0.443,0.363,0.315,0.272,0.239,,
Colombia,,,,,,,,,,,,,,,,,,,,,,,,,,0.47,,,,0.552,,,0.583,0.537,0.605,0.532,0.509,0.508,0.467,,,0.423,0.411,0.383,0.352,0.34,0.32,0.298,0.287,0.285,0.276,0.278
Comoros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.616,,,,,,,,,,0.623,,,,
"Congo, Dem. Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.997,,,,,,,,0.977,,,,,,
"Congo, Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.894,,,,,,0.824,,,,,,,
Costa Rica,,,,,,,,,,,,,,,0.655,,,,,0.547,,,0.424,0.399,0.445,0.41,0.35,0.302,0.318,0.349,0.322,0.272,0.3,0.3,0.232,0.223,0.218,0.226,0.203,0.2,0.159,0.155,0.152,0.129,0.132,0.123,0.123,0.119,0.115,0.107,0.097,0.109
Cote d'Ivoire,,,,,,,,,,,,,,,,,,,0.459,0.501,0.565,0.673,,,,0.776,,,0.784,,,0.821,,,,0.81,,,,,,0.808,,,,,,,0.823,,,
Croatia,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.047,0.062,0.071,0.073,0.073,0.061,0.055,0.044,0.038,
Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001,0.001,0.0,0.001,0.0,0.001,0.001,0.0,0.001,0.002,0.002,0.001,0.001,0.001,
Czech Republic,,,,,,,,,,,,,,,,,,,,,,,,,,0.007,0.004,,,0.012,,,,,,0.007,,0.012,0.006,0.007,0.006,0.005,0.007,0.008,0.006,0.008,0.005,0.007,0.003,0.006,0.004,
Denmark,,,,,,,,,,,,,,,,,,,,,0.012,,,,,0.01,,,0.002,,,,,0.002,,,0.004,0.004,0.005,0.003,0.005,0.007,0.01,0.002,0.006,0.002,0.006,0.007,0.004,0.004,0.002,
Djibouti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.771,,,,,,,,,,0.686,0.75,,,,0.706,
Dominican Republic,,,,,,,,,,,,,,,,,,,,0.284,,,0.547,,,0.407,,,,0.32,0.296,,,0.302,0.301,0.306,0.385,0.457,0.368,0.336,0.333,0.344,0.317,0.317,0.31,0.307,0.298,0.251,0.217,0.199,0.159,0.138
Ecuador,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.608,,,,,0.634,0.727,,,0.534,0.546,0.465,0.412,0.404,0.382,0.382,0.343,0.302,0.275,0.269,0.238,0.247,0.239,0.232,0.242
Egypt,,,,,,,,,,,,,,,,,,,,,,,,0.771,,,,,0.8,,,,0.681,,,,,0.758,,,,0.753,,0.68,,0.651,,,0.619,,0.704,
El Salvador,,,,,,,,,,,,,,,,,,,,,,,0.516,,0.601,,,,0.508,0.526,,0.521,0.499,0.445,0.462,0.464,0.471,0.449,0.45,0.423,0.39,0.433,0.428,0.413,0.413,0.389,0.35,0.349,0.318,0.307,0.289,0.257
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,0.255,,,,,,,,,,0.135,0.091,0.06,0.037,0.024,0.023,0.033,0.042,0.038,0.037,0.037,0.033,0.02,0.015,0.011,
Ethiopia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.964,,,,0.976,,,,,0.956,,,,,,0.931,,,,,0.902,,,
Fiji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.538,,,,,,0.509,,,,,0.486,,,,,
Finland,,,,,,,,,,,,,,,,,,,,,0.002,,,,0.002,,,,0.002,,,,,0.002,,,0.002,0.001,0.002,0.002,0.001,0.002,0.001,0.001,0.001,0.002,0.001,0.001,0.002,0.002,0.001,
France,,,,,,,,,,,,0.022,,,,,,0.03,,,,,0.017,,,,,0.002,,,,,,0.002,,,0.004,0.002,0.002,0.002,0.001,0.001,0.003,0.003,0.002,0.003,0.002,0.001,0.003,0.002,0.001,
Gabon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.561,,,,,,,,,,,,0.322,
Gambia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.952,,,,,0.868,,,,,,,0.804,,,,,0.725,,,
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.411,0.649,0.647,0.722,0.741,0.765,0.632,0.628,0.593,0.617,0.626,0.649,0.605,0.603,0.612,0.595,0.554,0.499,0.462,0.453,0.44,0.436,0.429
Germany,,,,,,,,,,,,,,,,,,,,,,,,,0.002,,,0.005,0.005,,,0.002,,0.002,0.002,0.002,0.002,0.002,0.002,0.0,0.002,0.002,0.002,0.002,0.002,,0.002,,0.002,0.005,,
Ghana,,,,,,,,,,,,,,,,,,,,,0.94,0.928,,,0.931,,,,,,,0.854,,,,,,,0.771,,,,,,,0.605,,,,0.569,,
Greece,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.042,,,,,0.025,,,0.016,0.017,0.016,0.019,0.017,0.012,0.014,0.024,0.046,0.062,0.07,0.069,0.068,0.054,0.044,
Guatemala,,,,,,,,,,,,,,,,,,,,0.848,,,0.728,,,,,,,,,0.499,,0.448,,,,,,0.434,,,,,,,,0.488,,,,
Guinea,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,0.892,,,,,,,,0.949,,,,,0.947,,,,,0.923,,,,,,
Guinea-Bissau,,,,,,,,,,,,,,,,,,,,,,,,,0.812,,0.953,,,,,,,,,0.958,,,,,,,,0.934,,,,,,,,
