country,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.139,,,,,,0.17,,,0.109,,,0.065,,,,0.077,,0.14,0.103,0.112,0.104,
Algeria,,,,,,,,,,,,,,,,,,,,,,0.249,,,,,,,0.239,,,,,,,,,,,,,,,,0.039,,,,,,,
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.556,,,,,,,,0.557,,,,,,,,,,0.698
Argentina,,,,,,,,,,,,,,0.012,,,,,,0.0,0.009,,,,0.044,0.049,0.058,0.055,0.086,0.095,0.088,0.101,0.107,0.126,0.173,0.262,0.151,0.117,0.095,0.079,0.067,0.063,0.057,0.053,0.024,0.027,0.023,0.026,,0.024,0.024,0.03
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.525,,0.556,0.523,0.48,0.363,0.269,0.225,0.187,0.136,0.192,0.205,0.188,0.171,0.162,0.164,0.135,0.141,0.123,0.13
Australia,,,,,,,,,,,,,,,0.013,,,,0.013,,,,0.01,,,,,,0.01,,,,,,0.01,,0.012,0.007,,,,0.007,,0.007,,,,0.007,,,,
Austria,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,0.005,0.012,,0.005,,,0.002,,,0.004,0.001,0.002,0.002,0.006,0.006,0.007,0.006,0.006,0.007,0.004,0.003,0.007,0.009,0.004,
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.263,,,,,,0.176,0.006,0.01,0.002,0.0,,,,,,,,,,,,,
Bangladesh,,,,,,,,,,,,,,,,,0.767,,0.713,,,0.795,,,0.839,,,,0.753,,,,,0.727,,,,,0.663,,,,,0.604,,,,,,0.529,,
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.391,0.345,0.272,0.153,0.11,0.091,0.045,0.026,0.011,0.011,0.005,0.005,0.002,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.0
Belgium,,,,,,,,,,,,,,,,,,,0.005,,,0.007,,,,0.01,,,0.007,,0.005,,,0.007,,,0.005,0.001,0.003,0.002,0.002,0.001,0.002,0.002,0.003,0.002,0.002,0.001,0.002,0.001,0.002,
Belize,,,,,,,,,,,,,,,,,,,,,,,,,,,0.248,0.263,,0.316,0.351,0.331,0.281,,,,,,,,,,,,,,,,,,,
Benin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.783,,,,,,,,0.767,,,,0.762,,,
Bhutan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.452,,,,0.305,,,,,0.145,,,,,0.12,
Bolivia,,,,,,,,,,,,,,,,,,,,,,,,,,0.372,,,,,0.321,,0.382,0.414,0.362,0.385,,0.292,0.321,0.286,0.263,0.203,0.184,,0.141,0.147,0.122,0.123,0.117,0.126,0.118,0.106
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,0.006,,,0.004,,,,0.008,,,,,,,
Botswana,,,,,,,,,,,,,,,,,,,0.638,,,,,,,,0.56,,,,,,,,,0.502,,,,,,,0.371,,,,,,0.385,,,
Brazil,,,,,,,,,,,,,,,0.392,0.391,0.473,0.466,0.415,0.233,0.331,0.358,0.333,0.385,,0.372,0.364,,0.269,0.273,0.278,0.254,0.273,,0.235,0.224,0.235,0.215,0.197,0.171,0.157,0.135,0.125,,0.103,0.09,0.079,0.071,0.078,0.088,0.091,0.092
Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0.106,0.045,0.031,0.027,0.042,0.049,0.049,0.048,0.038,0.057,0.044,0.031,
Burkina Faso,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.928,,,,0.913,,,,,0.803,,,,,,0.815,,,,,0.764,,,,
Burundi,,,,,,,,,,,,,,,,,,,,,,,,,,0.948,,,,,,0.953,,,,,,,,0.929,,,,,,,0.893,,,,,
Cameroon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.733,,,,,0.527,,,,,,0.557,,,,,,,0.447,,,,
Canada,,,,,0.03,,,,0.012,,,,,,0.007,,,,,,0.002,,,,0.002,,,0.002,,,0.005,0.005,,0.005,,,,0.002,,,0.002,,,0.002,,,0.005,,,,,
Cape Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.375,,,,,,0.265,,,,,,,,0.149,,,
Central African Republic,,,,,,,,,,,,,,,,,,,,,,,,,,0.923,,,,,,,,,,,0.851,,,,,0.831,,,,,,,,,,
Chad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.856,,,,,,,,0.665,,,,,,,
Chile,,,,,,,,,,,,,,,,,,,,,0.288,,,0.227,,0.167,,0.157,,0.125,,0.114,,0.124,,,0.115,,,0.055,,,0.041,,0.026,,0.014,,0.011,,0.007,
China,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,0.834,,,0.729,,,0.683,,,0.577,,,0.432,,,0.346,,0.285,0.235,0.202,0.121,0.095,0.07,0.054,,
Colombia,,,,,,,,,,,,,,,,,,,,,,,,,,0.226,,,,0.321,,,0.36,0.307,0.366,0.303,0.272,0.265,0.234,,,0.224,0.205,0.183,0.163,0.154,0.142,0.131,0.119,0.118,0.108,0.109
Comoros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.338,,,,,,,,,,0.369,,,,
"Congo, Dem. Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.985,,,,,,,,0.91,,,,,,
"Congo, Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.752,,,,,,0.613,,,,,,,
Costa Rica,,,,,,,,,,,,,,,0.424,,,,,0.267,,,0.218,0.193,0.233,0.197,0.161,0.136,0.141,0.167,0.138,0.108,0.131,0.137,0.106,0.098,0.096,0.091,0.077,0.076,0.052,0.052,0.055,0.04,0.043,0.042,0.04,0.038,0.04,0.038,0.027,0.036
Cote d'Ivoire,,,,,,,,,,,,,,,,,,,0.192,0.186,0.262,0.345,,,,0.496,,,0.496,,,0.559,,,,0.565,,,,,,0.571,,,,,,,0.574,,,
Croatia,,,,,,,,,,,,,,,,,,,,,,0.001,,,,,,,,,,,,,,,,,,,,,0.017,0.023,0.021,0.023,0.021,0.019,0.013,0.014,0.012,
Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001,0.001,0.0,0.0,0.0,0.001,0.001,0.0,0.0,0.001,0.001,0.001,0.001,0.001,
Czech Republic,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,0.002,,,,,,0.0,,0.0,0.001,0.001,0.002,0.001,0.001,0.001,0.001,0.003,0.001,0.001,0.0,0.001,0.001,
Denmark,,,,,,,,,,,,,,,,,,,,,0.007,,,,,0.007,,,0.002,,,,,0.0,,,0.004,0.003,0.003,0.002,0.003,0.004,0.006,0.001,0.0,0.0,0.003,0.002,0.003,0.003,0.002,
Djibouti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.478,,,,,,,,,,0.387,0.446,,,,0.402,
Dominican Republic,,,,,,,,,,,,,,,,,,,,0.135,,,0.308,,,0.177,,,,0.134,0.126,,,0.129,0.123,0.14,0.171,0.224,0.164,0.137,0.133,0.137,0.122,0.12,0.104,0.111,0.1,0.078,0.064,0.059,0.038,0.026
Ecuador,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.349,,,,,0.403,0.5,,,0.301,0.319,0.254,0.198,0.192,0.181,0.172,0.147,0.122,0.114,0.101,0.086,0.094,0.094,0.087,0.097
