Entity,Code,Year,Social expenditure on family (% of GDP) (OECD Stats (2019)),Social expenditure on health (% of GDP) (OECD Stats (2019)),Social expenditure on housing (% of GDP) (OECD Stats (2019)),Incapacity related social expenditures (% of GDP) (OECD Stats (2019)),Old age related social expenditures (% of GDP) (OECD Stats (2019)),Social expenditure on other social policy areas (% of GDP) (OECD Stats (2019)),Social expenditure on survivors (% of GDP) (OECD Stats (2019)),Social expenditure on unemployment (% of GDP) (OECD Stats (2019)),Social expenditure on active labor market policies (% of GDP) (OECD Stats (2019))
Slovenia,SVN,2010,2.1229999,6.2779999,0.009,2.2650001,9.441,0.57099998,1.671,0.54100001,0.49700001
Slovenia,SVN,2015,1.783,6.0819998,0.025,1.9529999,9.7869997,0.73900002,1.494,0.54500002,0.228
Slovenia,SVN,1995,,5.7020001,,,,,,,
Slovenia,SVN,2016,,6.1550002,,,,,,,
Slovenia,SVN,2017,,5.9980001,,,,,,,
Spain,ESP,1980,0.46000001,3.9719999,0,2.332,4.4660001,0.039000001,1.63,1.914,0.171
Spain,ESP,1985,0.255,4.0599999,0.017000001,2.405,5.6090002,0.037999999,1.773,2.6589999,0.317
Spain,ESP,1990,0.31200001,4.7810001,0.106,2.2219999,7.0289998,0.066,0.84299999,3.075,0.76200002
Spain,ESP,1995,0.40400001,5.0770001,0.219,2.415,8.0679998,0.114,0.884,3.089,0.41600001
Spain,ESP,2000,0.94499999,4.8639998,0.161,2.329,6.6370001,0.125,2.007,1.637,0.77499998
Spain,ESP,2005,1.155,5.5170002,0.168,2.4779999,6.3439999,0.21600001,1.9680001,1.806,0.75700003
Spain,ESP,2010,1.415,6.7470002,0.213,2.4860001,7.6420002,0.248,2.119,3.003,0.91000003
Spain,ESP,2015,1.235,6.5009999,0.101,2.395,9.2510004,0.21699999,2.3369999,2.0250001,0.59299999
Sweden,SWE,1980,3.513,7.2080002,1.02,4.5279999,7.2610002,0.40200001,0.56599998,0.34599999,
Sweden,SWE,1985,3.707,6.5770001,0.61299998,4.309,7.7740002,0.60299999,0.61000001,0.815,1.959
Sweden,SWE,1990,4.033,5.7729998,0.61000001,5.2470002,8.0979996,0.48899999,0.61900002,0.81699997,1.55
Sweden,SWE,1995,3.6240001,5.7859998,1.053,4.7399998,9.4420004,0.94400001,0.69700003,2.1860001,2.0899999
Sweden,SWE,2000,2.8080001,5.7410002,0.588,4.869,8.5839996,0.64700001,0.58899999,1.3099999,1.637
Sweden,SWE,2005,3.154,6.1110001,0.50800002,5.2750001,8.8780003,0.57999998,0.588,1.131,1.101
Sweden,SWE,2010,3.441,6.302,0.43399999,4.198,9.0699997,0.67199999,0.46000001,0.56599998,1.1109999
Sweden,SWE,2015,3.5369999,6.2859998,0.44299999,4.1300001,9.0790005,0.94800001,0.32100001,0.331,1.265
Switzerland,CHE,1980,0.94,3.286,0.085000001,2.0380001,5.1230001,0.78299999,0.41600001,0.067000002,0.061000001
Switzerland,CHE,1985,0.90200001,3.3940001,0.064000003,2.0369999,5.2779999,0.89099997,0.389,0.227,0.17399999
Switzerland,CHE,1990,1.064,3.362,0.106,1.627,4.862,0.27599999,0.48800001,0.107,0.198
Switzerland,CHE,1995,1.249,3.8659999,0.124,2.184,5.7620001,0.48699999,0.611,1.026,0.43200001
Switzerland,CHE,2000,1.373,4.335,0.133,2.355,5.6490002,0.583,0.616,0.50599998,0.505
Switzerland,CHE,2005,1.515,4.8940001,0.13699999,2.747,5.7849998,0.60900003,0.67900002,0.94,0.667
Switzerland,CHE,2010,1.48,4.9130001,0.11,2.3210001,5.848,0.565,0.662,0.954,0.59799999
Switzerland,CHE,2015,1.717,5.4460001,0.118,2.2160001,6.257,0.69999999,0.699,0.80900002,0.58399999
Turkey,TUR,1980,0.62800002,0.69400001,0,0.329,0,0.014,0.29499999,0.28600001,0
Turkey,TUR,1985,0.51700002,0.72399998,0,0.13699999,0,0.017000001,0.27700001,0.278,0
Turkey,TUR,1990,0.89700001,1.467,0,0.17,0,0.109,0.71600002,0.42500001,0.012
Turkey,TUR,1995,0.242,1.721,0,0.18099999,0,0.118,0.602,0.493,0.007
Turkey,TUR,2000,0.206,2.8499999,0,0.211,3.1099999,0.34299999,0.81599998,0.006,0.008
Turkey,TUR,2005,0.266,3.348,0,0.214,4.8530002,0.118,1.2180001,0.063000001,0.007
Turkey,TUR,2010,0.317,3.9419999,0,0.36899999,6.2270002,0.117,1.22,0.115,0.028999999
Turkey,TUR,2015,0.38100001,3.234,0,0.433,5.7329998,0.168,1.399,0.20200001,0.023
Turkey,TUR,2016,0.405,3.3840001,0,0.45899999,6.237,0.197,1.527,0.29499999,0.02
United Kingdom,GBR,1980,2.178,4.414,0.12899999,0.94599998,3.99,0.60299999,1.6569999,1.15,0.52100003
United Kingdom,GBR,1985,2.1370001,4.3449998,1.217,1.386,4.1830001,0.87900001,1.4529999,1.928,0.653
United Kingdom,GBR,1990,1.752,4.2350001,0.81699997,2.0009999,4.4860001,0.49599999,0.294,0.65799999,0.51099998
United Kingdom,GBR,1995,2.0050001,4.6300001,1.268,2.527,4.7540002,0.56900001,0.301,0.74599999,0.35299999
United Kingdom,GBR,2000,2.415,4.6939998,1.021,2.2149999,5.1389999,0.73299998,0.249,0.28999999,0.215
United Kingdom,GBR,2005,2.8610001,5.7800002,1.262,2.1010001,5.375,0.58399999,0.177,0.228,0.38699999
United Kingdom,GBR,2010,3.997,6.9770002,1.692,2,6.7290001,0.205,0.066,0.37400001,0.38299999
United Kingdom,GBR,2015,3.474,7.7030001,1.535,1.852,6.5289998,0.105,0.050999999,0.17299999,0.18799999
United States,USA,1980,0.76599997,3.523,0.193,1.091,5.0689998,0.51700002,1.012,0.66600001,
United States,USA,1985,0.60299999,3.8929999,0.26199999,0.954,5.1259999,0.39700001,0.949,0.38299999,
United States,USA,1990,0.45500001,4.6960001,0.27000001,0.96700001,4.9689999,0.38800001,0.89499998,0.41499999,0.208
United States,USA,1995,0.58899999,5.8470001,0.338,1.13,5.1570001,0.579,0.91500002,0.33399999,0.171
United States,USA,2000,0.78600001,5.6100001,0.28299999,1.0420001,4.888,0.47799999,0.79100001,0.229,0.14399999
United States,USA,2005,0.70200002,6.704,0.29100001,1.204,5.0409999,0.57700002,0.71700001,0.28,0.132
United States,USA,2010,0.74699998,8.0129995,0.389,1.414,5.928,0.89499998,0.72899997,1.091,0.161
United States,USA,2015,0.64200002,8.4160004,0.25999999,1.352,6.4159999,0.79699999,0.66100001,0.198,0.105
United States,USA,2016,0.63800001,8.4549999,0.259,1.309,6.5440001,0.76099998,0.64600003,0.19400001,0.104
United States,USA,2017,,,0.255,,6.4619999,0.72500002,0.61699998,,0.105
